2574155021857646.000000,58823452513390.218750,103330389111.066498
1857896934986139.500000,20805593642379.042969,75651851102.954819
4618728247464615.000000,86861112540227.046875,124849017554.501251
1798013947113601.750000,26245716036245.941406,85580252084.422348
3073691253075951.000000,64407626124584.101562,80626307244.837173
2551976444222501.000000,43260146930924.078125,64505526285.833588
1799041135085257.000000,49554169091874.617188,99089935049.111496
1854106044356671.500000,31390806716089.949219,109767338646.768646
1840144388386536.000000,27534658938576.933594,78259642505.796432
1488065205781492.500000,35760795208304.851562,111754364591.236481
919538820302807.000000,20945191616675.992188,73439179701.710312
1890195684658944.750000,26637170474802.812500,96156307335.599915
961172116805527.125000,39406945763878.093750,123811855525.400757
2212464770476701.500000,49663292408286.398438,96578429895.088165
1861704218373271.000000,58124312791589.750000,106150734538.303177
3449806218364197.000000,190180326723256.968750,175168490922.630157
2840336084954173.000000,34040587316996.589844,98352977679.178925
1097566350135558.000000,21778606236164.074219,69647116452.911591
1183724030632714.000000,44856037407492.742188,74821483223.923828
2437548370510459.000000,15745815452789.226562,76044469484.701965
2353293612028130.500000,44202181782090.500000,100876383226.995804
1855642299576287.000000,20578605977873.917969,68382160975.717865
1151755643712019.500000,41741977772550.343750,93684184334.983459
1153827720903825.250000,38768729668185.359375,108217957939.608810
1837806633057410.500000,23823582219889.324219,73060073940.128830
